access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,ev_network_ids.station,ev_network_ids.posts,access,has_level2,has_dc_fast,total_ports,charging_type
public,24 hours daily,NA,NA,8/15/2024,NA,ELEC,Public,83491,LD,8/21/2020,P,NA,FALSE,E,NA,MUNI_GOV,Fulford Community Hall,250-653-4415,8/14/2025 23:22,GPS,48.772431,-123.465926,Salt Spring Island,CA,NA,NA,BC,2591 Fulford-Ganges Rd,V8K 1Z4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free; donations accepted,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour,NA,NA,Public,Gratuit; dons acceptés,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily,NA,NA,9/12/2024,3/1/2025,ELEC,TEMPORARILY UNAVAILABLE (Public),83492,LD,5/17/2017,P,NA,FALSE,T,NA,HOTEL,Poets Cove Resort and Spa,250-629-2100,8/4/2025 17:44,200-9,48.748128,-123.22717,Pender Island,CA,NA,NA,BC,9801 Spalding Rd,V0N 2M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,TEMPORAIREMENT SUSPENDU (Public),Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily,NA,NA,7/7/2025,NA,ELEC,Public,83527,LD,6/15/2014,P,NA,FALSE,E,NA,MUNI_GOV,City of Merritt - City Hall,250-378-4224,7/7/2025 16:23,200-9,50.112488,-120.788241,Merritt,CA,Located on the front posts of the building,NA,BC,2185 Voght St,V1K 1R6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,Située sur les poteaux avant du btiment,NA,Public,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(NA, NA), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,357179,NA,9/27/2024,NA,NA,FALSE,E,ZEVIP,NA,Norgate Park,888-356-8911,10/24/2025 6:24,GPS,49.323306,-123.1185,District of North Vancouver,CA,NA,NA,BC,1578 Garden Ave,V7P 3A5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHADEMO, J1772COMBO",2,NA,0,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""dc_fast"", ""dc_fast""), list(""ZEVIP"", ""ZEVIP""), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(50, 50), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(50, 50), c(1, 1)",c2cd97eb-2e0f-4f56-84f7-e6329d42091c,"312f50dd-fdbc-4dcf-ad4a-82f056c2c43e, cca4e762-4ee5-4c85-b484-7910d0043733",public,FALSE,TRUE,2,DC Fast Only
public,24 hours daily,NA,NA,4/9/2019,NA,ELEC,Public,83732,NA,3/1/2011,P,NA,FALSE,E,NA,COLLEGE_CAMPUS,British Columbia Institute of Technology - Centre for Applied Research and Innovation,604-451-6875,6/7/2021 17:08,200-9,49.246145,-123.004204,Burnaby,CA,NA,NA,BC,4355 Mathissi Pl,V5G 4S8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,Non-Networked,NA,NA,Free,HYDRO,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.6, 6.6), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,public,TRUE,FALSE,2,Level 2 Only
public,"8am-9pm M-Th, 8am-6pm F, 8:30-6pm Sat, 12pm-5pm Sun; For customers only",CALL,NA,8/15/2024,NA,ELEC,Public - Call ahead,83733,MD,5/24/2018,P,NA,TRUE,E,NA,CAR_DEALER,Morrey Nissan,604-464-9291,8/4/2025 17:47,200-9,49.27199,-122.788224,Port Coquitlam,CA,NA,NA,BC,2710 Lougheed Hwy,V3B 6P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8:00-21:00 LUN-JEU, 8:00-18:00 VEN, 8:30-17:00 DIM; Pour client seulement",NA,NA,Public - Appeler à l'avance,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
private,"9am-8pm M-Th, 9am-6pm F-Sat; For clients and service center use only",NA,NA,4/9/2025,NA,ELEC,Private,83828,LD,3/15/2014,P,NA,NA,E,NA,CAR_DEALER,Go North Surrey GM,NA,8/14/2025 22:55,200-9,49.191303,-122.798987,Surrey,CA,NA,NA,BC,15250 104th Ave,V3R 6N8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,2,1,Non-Networked,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9:00-20:00 LUN-JEU, 9:00-18:00 VEN-SAM; Å l'usage des clients seulement et centre de service seulement",NA,NA,Privé,NA,"c(""Non-Networked"", ""Non-Networked"", ""Non-Networked""), c(1, 1, 1), c(""2"", ""1"", ""1""), list(list(), list(), list()), c(NA, NA, NA), c(1, 1, 1), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0)",NA,NA,private,TRUE,FALSE,1,Level 2 Only
private,24 hours daily; guests only,NA,NA,8/15/2024,NA,ELEC,Private,84017,LD,7/1/2015,P,NA,NA,E,NA,HOTEL,Best Western Plus-Sunrise Inn,NA,6/10/2025 17:41,200-9,49.028741,-119.443172,Osoyoos,CA,NA,NA,BC,5506 Main St,V0H 1V3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; clients seulement,NA,NA,Privé,Gratuit,"c(""Non-Networked"", ""Non-Networked""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(NA, NA), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,private,TRUE,FALSE,2,Level 2 Only
private,24 hours daily; for guest use only,NA,CREDIT Debit,7/11/2024,NA,ELEC,Private,84031,LD,3/15/2012,P,NA,NA,E,NA,HOTEL,Best Western - The Westerly Hotel,NA,4/24/2025 19:54,200-9,49.685591,-124.991084,Courtenay,CA,NA,NA,BC,1590 Cliffe Ave,V9N 2K4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,SWTCH,https://swtchenergy.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 heures par jour; à l'usage des clients seulement,NA,NA,Privé,NA,"c(""SWTCH"", ""SWTCH""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(NA, NA), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",NA,NA,private,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,7/8/2022,NA,ELEC,Public,84039,MD,12/25/2013,P,NA,FALSE,E,NA,TRAVEL_CENTER,Kamloops Visitor Centre,250-372-8000,10/6/2023 2:57,GPS,50.65485162,-120.3679324,Kamloops,CA,NA,NA,BC,1290 W Trans Canada Hwy,V2C 6R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,Non-Networked,NA,NA,Free,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,Gratuit,"Non-Networked, 1, 2, list(list()), NA, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",NA,NA,public,TRUE,FALSE,1,Level 2 Only
