"station_id","station_name","nearest_id","nearest_name","nearest_dist_m","nearest_dist_km"
83491,"Fulford Community Hall","116374","Ciderworks @ Salt Spring Apple Company - Tesla Destination",7652.01481129468,7.65201481129468
83492,"Poets Cove Resort and Spa","116355","Sea Star Estate Farm & Vineyards - Tesla Destination",4021.76840084576,4.02176840084576
84054,"Best Western - Valemount Inn & Suites","236942","RDFFG MCB VALEMOUNT 1",1067.48380365472,1.06748380365472
84049,"Best Western - Sicamous Inn","210222","Shell Canada",490.826437484261,0.490826437484261
84065,"Black Rock Resort","164216","Ucluelet Community Centre",323.178710641839,0.323178710641839
84063,"Wickaninnish Inn","116384","Wickaninnish Inn - Tesla Destination",135.636773928053,0.135636773928053
83527,"City of Merritt - City Hall","84862","Merritt Information Centre",78.8365207376281,0.0788365207376281
84017,"Best Western Plus-Sunrise Inn","116349","Best Western Plus Sunrise Inn - Tesla Destination",31.6642298974882,0.0316642298974882
84048,"Pender Harbour Hotel","116324","Pender Harbour Hotel - Tesla Destination",0,0
83550,"North Shore Kia","184136","North Shore Kia",0,0
84142,"Meadow Park Sports Centre","421550","Meadow Park Sports Centre",0,0
84511,"Regius Realty","420654","Regius Realty",0,0
420654,"Regius Realty","84511","Regius Realty",0,0
360862,"THE INDEPENDENT - SITE P1","397120","THE INDEPENDENT - SITE P2",0,0
397120,"THE INDEPENDENT - SITE P2","360862","THE INDEPENDENT - SITE P1",0,0
